118163,0,0,6,6,19,4,12,140,20,15,.5,.60,.2,.7,.8,700,0,40,50,4,3,1280,1920,2048,4,0,475,44550129,8,115,58,1.98276,0.13017,17.6552,1.75727,7.90435,0.697498,111,56,1.98214,0.132432,18.2857,1.88712,8.22523,0.680285,106,53,2,0,19.3208,0.795591,8.66038,0.564463,
26945,0,0,12,6,70,8,4,150,70,5,.9,1.00,.4,.8,.8,1900,1.00,80,40,4,1,1024,1280,1920,1,0,896,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
110303,0,0,3,6,58,10,4,110,60,10,.8,.85,.5,.8,.7,1700,.45,30,50,2,2,1792,1024,1920,4,0,548,44550129,8,115,58,1.98276,0.13017,17.6552,1.75727,7.90435,0.697498,111,56,1.98214,0.132432,18.2857,1.88712,8.22523,0.680285,106,53,2,0,19.3208,0.795591,8.66038,0.564463,
35515,0,0,3,6,58,4,4,120,40,10,.8,.95,.2,.9,.7,1200,.15,30,60,1,1,1024,1664,1408,2,0,238,1811175,8,219,110,1.99091,0.0949119,9.3,0.91998,3.67123,0.670067,218,110,1.98182,0.189824,9.30909,1.1261,3.69266,0.643985,218,109,2,0,9.3945,0.801585,3.69725,0.642595,
66675,0,0,3,6,114,2,2,150,70,15,.6,.80,.2,.6,1.0,800,.40,40,40,4,3,1280,1920,1280,4,0,912,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
102615,0,0,12,6,92,2,2,150,100,15,1.0,.70,.2,.5,.4,1800,1.00,60,50,2,3,1408,1152,1280,3,0,969,44550129,8,115,58,1.98276,0.13017,17.6552,1.75727,7.90435,0.697498,111,56,1.98214,0.132432,18.2857,1.88712,8.22523,0.680285,106,53,2,0,19.3208,0.795591,8.66038,0.564463,
111373,0,0,6,6,106,2,2,100,40,10,1.0,1.00,.3,.5,0,700,.05,20,40,2,4,2048,1152,2048,1,0,960,44550129,8,115,58,1.98276,0.13017,17.6552,1.75727,7.90435,0.697498,111,56,1.98214,0.132432,18.2857,1.88712,8.22523,0.680285,106,53,2,0,19.3208,0.795591,8.66038,0.564463,
27415,0,0,3,6,26,12,4,120,90,10,1.0,.75,.5,.7,.7,1000,.85,100,60,3,3,1536,2048,1152,3,0,990,1811175,8,219,110,1.99091,0.0949119,9.3,0.91998,3.67123,0.670067,218,110,1.98182,0.189824,9.30909,1.1261,3.69266,0.643985,218,109,2,0,9.3945,0.801585,3.69725,0.642595,
66264,0,0,3,6,100,8,12,140,60,5,.6,.55,.2,.6,.8,1500,.70,60,40,1,2,1280,1664,1920,3,0,675,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
42629,0,0,6,6,123,8,8,110,40,10,.8,.55,.5,.5,1.0,1000,.35,10,60,3,3,1152,1920,1024,3,0,498,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
131105,0,0,1,6,111,2,8,130,80,10,.7,.80,.2,.6,0,900,.10,80,60,2,2,1280,1024,1152,4,0,900,1811175,8,219,110,1.99091,0.0949119,9.3,0.91998,3.67123,0.670067,218,110,1.98182,0.189824,9.30909,1.1261,3.69266,0.643985,218,109,2,0,9.3945,0.801585,3.69725,0.642595,
19061,0,0,3,6,11,10,2,130,80,5,.5,.50,.2,.5,.3,700,.10,40,50,4,3,2048,1792,1536,2,0,707,1811175,8,219,110,1.99091,0.0949119,9.3,0.91998,3.67123,0.670067,218,110,1.98182,0.189824,9.30909,1.1261,3.69266,0.643985,218,109,2,0,9.3945,0.801585,3.69725,0.642595,
33853,0,0,12,6,126,12,10,110,30,20,.8,1.00,.4,.6,.1,2000,.65,30,60,1,4,1536,1280,2048,2,0,860,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
120570,0,0,6,6,11,2,4,130,30,20,.6,.80,.4,.9,0,700,.30,90,40,1,1,1664,1920,1152,1,0,339,44550129,8,115,58,1.98276,0.13017,17.6552,1.75727,7.90435,0.697498,111,56,1.98214,0.132432,18.2857,1.88712,8.22523,0.680285,106,53,2,0,19.3208,0.795591,8.66038,0.564463,
46894,0,0,3,6,4,2,10,150,60,5,.7,.95,.5,.8,.5,1400,.60,30,50,4,1,1920,1792,1664,4,0,311,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
44119,0,0,6,6,122,6,6,150,80,5,.7,1.00,.3,.7,.1,600,.80,10,40,2,3,1408,1536,1408,1,0,726,11274290,8,180,91,1.97802,0.208502,11.2527,1.37156,4.65746,0.999344,163,82,1.9878,0.109756,12.4878,0.872953,5.28221,0.450074,163,82,1.9878,0.109756,12.4878,1.06203,5.28221,0.489261,
